County_FIPS,Unemployment_Rate,,,,,
8047,3.5,,,,,
8049,3.5,,,,,
8051,3.7,,,,,
8053,3,,,,,
8055,7.8,,,,,
8057,2.4,,,,,
8059,3.7,,,,,
8061,2.7,,,,,
8063,2.5,,,,,
8065,4,,,,,
8067,3.5,,,,,
8069,3.5,,,,,
8071,5.9,,,,,
8073,3.7,,,,,
8075,3.1,,,,,
8077,4.8,,,,,
8079,3.5,,,,,
8081,4.4,,,,,
8083,5.3,,,,,
8085,5.3,,,,,
8087,3.5,,,,,
8089,6.2,,,,,
8091,5,,,,,
8093,3.7,,,,,
8095,2.6,,,,,
8097,6.2,,,,,
8099,3.8,,,,,
8101,5.9,,,,,
8103,4.9,,,,,
8105,7,,,,,
8107,3.9,,,,,
8109,6.3,,,,,
8111,5.9,,,,,
8113,7.6,,,,,
8115,3.7,,,,,
8117,2.9,,,,,
8119,4.8,,,,,
8121,2.6,,,,,
8123,3.6,,,,,
8125,2.6,,,,,
9001,5.6,,,,,
9003,6.2,,,,,
9005,5.2,,,,,
9007,5,,,,,
9009,6.6,,,,,
9011,6.3,,,,,
9013,5.1,,,,,
9015,6.7,,,,,
10001,5,,,,,
10003,4.5,,,,,
10005,5.3,,,,,
11001,7.6,,,,,
12001,4.8,,,,,
12003,5.8,,,,,
12005,6.2,,,,,
12007,5.1,,,,,
12009,6.4,,,,,
12011,5.4,,,,,
12013,6.3,,,,,
12015,6.3,,,,,
12017,7.8,,,,,
12019,5.4,,,,,
12021,5.5,,,,,
12023,5.9,,,,,
12027,7.2,,,,,
12029,6.8,,,,,
12031,6.2,,,,,
12033,5.9,,,,,
12035,6.9,,,,,
12037,5.3,,,,,
12039,7.3,,,,,
12041,6,,,,,
12043,6.8,,,,,
12045,5.6,,,,,
12047,6.8,,,,,
12049,7.7,,,,,
12051,10,,,,,
12053,7.3,,,,,
12055,7.8,,,,,
12057,5.5,,,,,
12059,6.6,,,,,
12061,6.8,,,,,
12063,6,,,,,
12065,6.2,,,,,
12067,5.3,,,,,
12069,5.9,,,,,
12071,5.4,,,,,
12073,5.2,,,,,
12075,6.3,,,,,
12077,5.8,,,,,
12079,7.2,,,,,
12081,5.3,,,,,
12083,6.8,,,,,
12085,5.7,,,,,
12086,6.1,,,,,
12087,3.9,,,,,
12089,5.4,,,,,
12091,5,,,,,
12093,6.8,,,,,
12095,5.4,,,,,
12097,6.2,,,,,
12099,5.2,,,,,
12101,6.3,,,,,
12103,5.4,,,,,
12105,6.7,,,,,
12107,8.1,,,,,
12109,4.3,,,,,
12111,6.8,,,,,
12113,4.9,,,,,
12115,5.4,,,,,
12117,5.2,,,,,
12119,7.4,,,,,
12121,5.8,,,,,
12123,7.1,,,,,
12125,5.8,,,,,
12127,6.2,,,,,
12129,4.9,,,,,
12131,5.1,,,,,
12133,6.6,,,,,
13001,7.7,,,,,
13003,6.3,,,,,
13005,5.8,,,,,
13007,7.7,,,,,
13009,8.1,,,,,
13011,5.9,,,,,
13013,5.6,,,,,
13015,6.2,,,,,
13017,9.6,,,,,
13019,7.8,,,,,
13021,7.2,,,,,
13023,9.9,,,,,
13025,8.1,,,,,
13027,6.5,,,,,
13029,5.7,,,,,
13031,6.4,,,,,
13033,8.7,,,,,
13035,6.6,,,,,
13037,6,,,,,
13039,6.1,,,,,
13043,6.4,,,,,
13045,6.9,,,,,
13047,5.5,,,,,
13049,6.9,,,,,
13051,6.3,,,,,
13053,9.2,,,,,
13055,6.5,,,,,
13057,5,,,,,
13059,6.1,,,,,
13061,10.5,,,,,
13063,8.4,,,,,
13065,8,,,,,
13067,5.5,,,,,
13069,7.4,,,,,
13071,7.3,,,,,
13073,5.3,,,,,
13075,7.7,,,,,
13077,5.5,,,,,
13079,6.7,,,,,
13081,8.3,,,,,
13083,5.8,,,,,
13085,5.2,,,,,
13087,7.3,,,,,
13089,6.5,,,,,
13091,9.6,,,,,
13093,8.7,,,,,
13095,8.4,,,,,
13097,6.7,,,,,
13099,8.7,,,,,
13101,5,,,,,
13103,5.4,,,,,
13105,8.2,,,,,
13107,9.7,,,,,
13109,5.8,,,,,
13111,6.9,,,,,
13113,5.6,,,,,
13115,6.9,,,,,
13117,4.7,,,,,
13119,7.5,,,,,
13121,6.5,,,,,
13123,6.5,,,,,
13125,7.4,,,,,
13127,6.7,,,,,
13129,6.6,,,,,
13131,6.7,,,,,
13133,7.5,,,,,
13135,5.5,,,,,
13137,6,,,,,
13139,5.2,,,,,
13141,10.7,,,,,
13143,6.7,,,,,
13145,5.5,,,,,
13147,7.1,,,,,
13149,6.9,,,,,
13151,6.4,,,,,
13153,6.3,,,,,
13155,9.4,,,,,
13157,5.3,,,,,
13159,5.9,,,,,
13161,7.7,,,,,
13163,9.6,,,,,
13165,9,,,,,
13167,8.5,,,,,
13169,5.8,,,,,
13171,8.3,,,,,
13173,7.4,,,,,
13175,8.9,,,,,
13177,5.6,,,,,
13179,7,,,,,
13181,7.2,,,,,
13183,6.3,,,,,
13185,6.6,,,,,
13187,5.7,,,,,
13189,8.8,,,,,
13191,7.2,,,,,
13193,10.9,,,,,
13195,5.6,,,,,
13197,7.7,,,,,
13199,8.4,,,,,
13201,5.7,,,,,
13205,7.1,,,,,
13207,5.9,,,,,
13209,9.4,,,,,
13211,5.9,,,,,
13213,8.6,,,,,
13215,7.9,,,,,
13217,7.4,,,,,
13219,4.4,,,,,
13221,5.5,,,,,
13223,5.5,,,,,
13225,8.6,,,,,
13227,5.7,,,,,
13229,6.7,,,,,
13231,6.2,,,,,
13233,7,,,,,
13235,6.9,,,,,
13237,8.2,,,,,
13239,7,,,,,
13241,7.3,,,,,
13243,8.3,,,,,
13245,7.7,,,,,
13247,7,,,,,
13249,7.3,,,,,
13251,8.4,,,,,
13253,9.2,,,,,
13255,8.5,,,,,
13257,6.9,,,,,
13259,7.2,,,,,
